Player_A,Player_B,Team,Minutes_Together,Net_Rating
D. Sabonis,K. Murray,SAC,2035.003333,6.035714285714286
K. Caldwell-Pope,N. Jokic,DEN,2013.878334,28.63157894736842
N. Jokic,M. Porter Jr.,DEN,1998.7600009999999,29.105263157894736
H. Barnes,D. Sabonis,SAC,1918.328332,1.9565217391304348
D. DeRozan,C. White,CHI,1916.20667,-1.6896551724137931
K. Caldwell-Pope,M. Porter Jr.,DEN,1884.180002,28.823529411764707
J. Green,J. Smith Jr.,HOU,1881.518339,-1.8181818181818181
A. Gordon,N. Jokic,DEN,1815.268333,31.642857142857142
A. Gordon,M. Porter Jr.,DEN,1797.226668,29.071428571428573
N. Vucevic,C. White,CHI,1778.305001,-4.32
F. VanVleet,J. Green,HOU,1737.291669,2.8076923076923075
K. Caldwell-Pope,A. Gordon,DEN,1730.795,31.692307692307693
B. Lopez,D. Lillard,MIL,1721.4583340000001,12.607142857142858
R. Gobert,A. Edwards,MIN,1716.3883329999999,11.956521739130435
D. Sabonis,D. Fox,SAC,1715.4816660000001,7.7727272727272725
D. DeRozan,N. Vucevic,CHI,1712.073334,-4.2727272727272725
K. Durant,G. Allen,PHX,1691.93,9.793103448275861
A. Davis,A. Reaves,LAL,1662.104999,1.4516129032258065
J. Holiday,J. Tatum,BOS,1661.808332,14.08695652173913
B. Lopez,M. Beasley,MIL,1652.256666,11.875
H. Barnes,K. Murray,SAC,1649.1216670000001,6.0
D. Lillard,M. Beasley,MIL,1648.035001,13.318181818181818
M. Conley,R. Gobert,MIN,1616.441665,10.5
J. Harden,P. George,LAC,1611.21,13.92
D. Fox,K. Murray,SAC,1609.7250000000001,9.25
J. Brown,D. White,BOS,1605.171668,15.04
J. Green,A. Sengun,HOU,1595.6566699999998,1.7916666666666667
H. Barnes,D. Fox,SAC,1594.668334,5.0
S. Gilgeous-Alexander,J. Williams,OKC,1581.891666,11.357142857142858
D. Lillard,G. Antetokounmpo,MIL,1577.875001,13.8
T. Jones,K. Kuzma,WAS,1574.6483329999999,-11.75
C. Capela,D. Murray,ATL,1567.948334,-2.782608695652174
D. Brooks,J. Green,HOU,1566.113335,-1.5238095238095237
