Lineup_Players,Team,Games,Minutes,Plus_Minus,Player_1,Player_2,Player_3,Player_4,Player_5
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,DEN,48,958.416667,282.0,K. Caldwell-Pope,A. Gordon,N. Jokic,J. Murray,M. Porter Jr.
S. Gilgeous-Alexander - L. Dort - J. Giddey - C. Holmgren - J. Williams,OKC,63,799.261667,165.0,S. Gilgeous-Alexander,L. Dort,J. Giddey,C. Holmgren,J. Williams
F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,HOU,45,754.045,-1.0,F. VanVleet,D. Brooks,J. Green,A. Sengun,J. Smith Jr.
H. Barnes - D. Sabonis - D. Fox - K. Huerter - K. Murray,SAC,46,668.94,78.0,H. Barnes,D. Sabonis,D. Fox,K. Huerter,K. Murray
M. Conley - R. Gobert - K. Towns - A. Edwards - J. McDaniels,MIN,45,640.803333,111.0,M. Conley,R. Gobert,K. Towns,A. Edwards,J. McDaniels
J. Holiday - K. Porzingis - J. Brown - J. Tatum - D. White,BOS,37,622.798333,150.0,J. Holiday,K. Porzingis,J. Brown,J. Tatum,D. White
B. Lopez - D. Lillard - K. Middleton - G. Antetokounmpo - M. Beasley,MIL,39,598.605,199.0,B. Lopez,D. Lillard,K. Middleton,G. Antetokounmpo,M. Beasley
J. Harden - P. George - K. Leonard - I. Zubac - T. Mann,LAC,41,592.66,120.0,J. Harden,P. George,K. Leonard,I. Zubac,T. Mann
T. Jones - K. Kuzma - D. Gafford - J. Poole - D. Avdija,WAS,42,576.658333,-42.0,T. Jones,K. Kuzma,D. Gafford,J. Poole,D. Avdija
K. Durant - B. Beal - J. Nurkic - D. Booker - G. Allen,PHX,35,502.88,105.0,K. Durant,B. Beal,J. Nurkic,D. Booker,G. Allen
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr.,DEN,55,444.046667,76.0,R. Jackson,K. Caldwell-Pope,A. Gordon,N. Jokic,M. Porter Jr.
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,IND,25,443.903333,66.0,M. Turner,P. Siakam,A. Nembhard,T. Haliburton,A. Nesmith
D. DeRozan - N. Vucevic - A. Caruso - C. White - A. Dosunmu,CHI,30,433.331667,-18.0,D. DeRozan,N. Vucevic,A. Caruso,C. White,A. Dosunmu
J. Valančiūnas - C. McCollum - B. Ingram - Z. Williamson - H. Jones,NOP,41,423.591667,-5.0,J. Valančiūnas,C. McCollum,B. Ingram,Z. Williamson,H. Jones
D. Vassell - T. Jones - J. Champagnie - J. Sochan - V. Wembanyama,SAS,37,404.061667,34.0,D. Vassell,T. Jones,J. Champagnie,J. Sochan,V. Wembanyama
L. James - A. Davis - D. Russell - R. Hachimura - A. Reaves,LAL,25,388.77,59.0,L. James,A. Davis,D. Russell,R. Hachimura,A. Reaves
D. Mitchell - J. Allen - M. Strus - D. Garland - E. Mobley,CLE,28,367.795,19.0,D. Mitchell,J. Allen,M. Strus,D. Garland,E. Mobley
